dong.id,법정동코드,법정동명,폐지여부,지역
30110101,3011010100,대전광역시 동구 원동,존재,대전광역
30110102,3011010200,대전광역시 동구 인동,존재,대전광역
30110103,3011010300,대전광역시 동구 효동,존재,대전광역
30110104,3011010400,대전광역시 동구 천동,존재,대전광역
30110105,3011010500,대전광역시 동구 가오동,존재,대전광역
30110106,3011010600,대전광역시 동구 신흥동,존재,대전광역
30110107,3011010700,대전광역시 동구 판암동,존재,대전광역
30110108,3011010800,대전광역시 동구 삼정동,존재,대전광역
30110109,3011010900,대전광역시 동구 용운동,존재,대전광역
30110110,3011011000,대전광역시 동구 대동,존재,대전광역
30110111,3011011100,대전광역시 동구 자양동,존재,대전광역
30110112,3011011200,대전광역시 동구 신안동,존재,대전광역
30110113,3011011300,대전광역시 동구 소제동,존재,대전광역
30110114,3011011400,대전광역시 동구 가양동,존재,대전광역
30110115,3011011500,대전광역시 동구 용전동,존재,대전광역
30110116,3011011600,대전광역시 동구 성남동,존재,대전광역
30110117,3011011700,대전광역시 동구 홍도동,존재,대전광역
30110118,3011011800,대전광역시 동구 삼성동,존재,대전광역
30110119,3011011900,대전광역시 동구 정동,존재,대전광역
30110120,3011012000,대전광역시 동구 중동,존재,대전광역
30110121,3011012100,대전광역시 동구 추동,존재,대전광역
30110122,3011012200,대전광역시 동구 비룡동,존재,대전광역
30110123,3011012300,대전광역시 동구 주산동,존재,대전광역
30110124,3011012400,대전광역시 동구 용계동,존재,대전광역
30110125,3011012500,대전광역시 동구 마산동,존재,대전광역
30110126,3011012600,대전광역시 동구 효평동,존재,대전광역
30110127,3011012700,대전광역시 동구 직동,존재,대전광역
30110128,3011012800,대전광역시 동구 세천동,존재,대전광역
30110129,3011012900,대전광역시 동구 신상동,존재,대전광역
30110130,3011013000,대전광역시 동구 신하동,존재,대전광역
30110131,3011013100,대전광역시 동구 신촌동,존재,대전광역
30110132,3011013200,대전광역시 동구 사성동,존재,대전광역
30110133,3011013300,대전광역시 동구 내탑동,존재,대전광역
30110134,3011013400,대전광역시 동구 오동,존재,대전광역
30110135,3011013500,대전광역시 동구 주촌동,존재,대전광역
30110136,3011013600,대전광역시 동구 낭월동,존재,대전광역
30110137,3011013700,대전광역시 동구 대별동,존재,대전광역
30110138,3011013800,대전광역시 동구 이사동,존재,대전광역
30110139,3011013900,대전광역시 동구 대성동,존재,대전광역
30110140,3011014000,대전광역시 동구 장척동,존재,대전광역
30110141,3011014100,대전광역시 동구 소호동,존재,대전광역
30110142,3011014200,대전광역시 동구 구도동,존재,대전광역
30110143,3011014300,대전광역시 동구 삼괴동,존재,대전광역
30110144,3011014400,대전광역시 동구 상소동,존재,대전광역
30110145,3011014500,대전광역시 동구 하소동,존재,대전광역
30140101,3014010100,대전광역시 중구 은행동,존재,대전광역
30140102,3014010200,대전광역시 중구 선화동,존재,대전광역
30140103,3014010300,대전광역시 중구 목동,존재,대전광역
30140104,3014010400,대전광역시 중구 중촌동,존재,대전광역
30140105,3014010500,대전광역시 중구 대흥동,존재,대전광역
30140106,3014010600,대전광역시 중구 문창동,존재,대전광역
30140107,3014010700,대전광역시 중구 석교동,존재,대전광역
30140108,3014010800,대전광역시 중구 호동,존재,대전광역
30140109,3014010900,대전광역시 중구 옥계동,존재,대전광역
30140110,3014011000,대전광역시 중구 대사동,존재,대전광역
30140111,3014011100,대전광역시 중구 부사동,존재,대전광역
30140112,3014011200,대전광역시 중구 용두동,존재,대전광역
30140113,3014011300,대전광역시 중구 오류동,존재,대전광역
30140114,3014011400,대전광역시 중구 태평동,존재,대전광역
30140115,3014011500,대전광역시 중구 유천동,존재,대전광역
30140116,3014011600,대전광역시 중구 문화동,존재,대전광역
30140117,3014011700,대전광역시 중구 산성동,존재,대전광역
30140118,3014011800,대전광역시 중구 사정동,존재,대전광역
30140119,3014011900,대전광역시 중구 안영동,존재,대전광역
30140120,3014012000,대전광역시 중구 무수동,존재,대전광역
30140121,3014012100,대전광역시 중구 구완동,존재,대전광역
30140122,3014012200,대전광역시 중구 침산동,존재,대전광역
30140123,3014012300,대전광역시 중구 목달동,존재,대전광역
30140124,3014012400,대전광역시 중구 정생동,존재,대전광역
30140125,3014012500,대전광역시 중구 어남동,존재,대전광역
30140126,3014012600,대전광역시 중구 금동,존재,대전광역
30170101,3017010100,대전광역시 서구 복수동,존재,대전광역
30170102,3017010200,대전광역시 서구 변동,존재,대전광역
30170103,3017010300,대전광역시 서구 도마동,존재,대전광역
30170104,3017010400,대전광역시 서구 정림동,존재,대전광역
30170105,3017010500,대전광역시 서구 용문동,존재,대전광역
30170106,3017010600,대전광역시 서구 탄방동,존재,대전광역
30170108,3017010800,대전광역시 서구 괴정동,존재,대전광역
30170109,3017010900,대전광역시 서구 가장동,존재,대전광역
30170110,3017011000,대전광역시 서구 내동,존재,대전광역
30170111,3017011100,대전광역시 서구 갈마동,존재,대전광역
30170112,3017011200,대전광역시 서구 둔산동,존재,대전광역
30170113,3017011300,대전광역시 서구 월평동,존재,대전광역
30170114,3017011400,대전광역시 서구 가수원동,존재,대전광역
30170115,3017011500,대전광역시 서구 도안동,존재,대전광역
30170116,3017011600,대전광역시 서구 관저동,존재,대전광역
30170117,3017011700,대전광역시 서구 흑석동,존재,대전광역
30170118,3017011800,대전광역시 서구 매노동,존재,대전광역
30170119,3017011900,대전광역시 서구 산직동,존재,대전광역
30170120,3017012000,대전광역시 서구 장안동,존재,대전광역
30170121,3017012100,대전광역시 서구 평촌동,존재,대전광역
30170122,3017012200,대전광역시 서구 오동,존재,대전광역
30170123,3017012300,대전광역시 서구 우명동,존재,대전광역
30170124,3017012400,대전광역시 서구 원정동,존재,대전광역
30170125,3017012500,대전광역시 서구 용촌동,존재,대전광역
30170126,3017012600,대전광역시 서구 봉곡동,존재,대전광역
30170127,3017012700,대전광역시 서구 괴곡동,존재,대전광역
30170128,3017012800,대전광역시 서구 만년동,존재,대전광역
30200101,3020010100,대전광역시 유성구 원내동,존재,대전광역
30200102,3020010200,대전광역시 유성구 교촌동,존재,대전광역
30200103,3020010300,대전광역시 유성구 대정동,존재,대전광역
30200104,3020010400,대전광역시 유성구 용계동,존재,대전광역
30200105,3020010500,대전광역시 유성구 학하동,존재,대전광역
30200106,3020010600,대전광역시 유성구 계산동,존재,대전광역
30200107,3020010700,대전광역시 유성구 성북동,존재,대전광역
30200108,3020010800,대전광역시 유성구 세동,존재,대전광역
30200109,3020010900,대전광역시 유성구 송정동,존재,대전광역
30200110,3020011000,대전광역시 유성구 방동,존재,대전광역
30200111,3020011100,대전광역시 유성구 봉명동,존재,대전광역
30200112,3020011200,대전광역시 유성구 구암동,존재,대전광역
30200113,3020011300,대전광역시 유성구 덕명동,존재,대전광역
30200114,3020011400,대전광역시 유성구 원신흥동,존재,대전광역
30200115,3020011500,대전광역시 유성구 상대동,존재,대전광역
30200116,3020011600,대전광역시 유성구 복용동,존재,대전광역
30200117,3020011700,대전광역시 유성구 장대동,존재,대전광역
30200118,3020011800,대전광역시 유성구 갑동,존재,대전광역
30200119,3020011900,대전광역시 유성구 노은동,존재,대전광역
30200120,3020012000,대전광역시 유성구 지족동,존재,대전광역
30200121,3020012100,대전광역시 유성구 죽동,존재,대전광역
30200122,3020012200,대전광역시 유성구 궁동,존재,대전광역
30200123,3020012300,대전광역시 유성구 어은동,존재,대전광역
30200124,3020012400,대전광역시 유성구 구성동,존재,대전광역
30200125,3020012500,대전광역시 유성구 신성동,존재,대전광역
30200126,3020012600,대전광역시 유성구 가정동,존재,대전광역
30200127,3020012700,대전광역시 유성구 도룡동,존재,대전광역
30200128,3020012800,대전광역시 유성구 장동,존재,대전광역
30200129,3020012900,대전광역시 유성구 방현동,존재,대전광역
30200130,3020013000,대전광역시 유성구 화암동,존재,대전광역
30200131,3020013100,대전광역시 유성구 덕진동,존재,대전광역
30200132,3020013200,대전광역시 유성구 하기동,존재,대전광역
30200133,3020013300,대전광역시 유성구 추목동,존재,대전광역
30200134,3020013400,대전광역시 유성구 자운동,존재,대전광역
30200135,3020013500,대전광역시 유성구 신봉동,존재,대전광역
30200136,3020013600,대전광역시 유성구 수남동,존재,대전광역
30200137,3020013700,대전광역시 유성구 안산동,존재,대전광역
30200138,3020013800,대전광역시 유성구 외삼동,존재,대전광역
30200139,3020013900,대전광역시 유성구 반석동,존재,대전광역
30200140,3020014000,대전광역시 유성구 문지동,존재,대전광역
30200141,3020014100,대전광역시 유성구 전민동,존재,대전광역
30200142,3020014200,대전광역시 유성구 원촌동,존재,대전광역
30200143,3020014300,대전광역시 유성구 탑립동,존재,대전광역
30200144,3020014400,대전광역시 유성구 용산동,존재,대전광역
30200145,3020014500,대전광역시 유성구 봉산동,존재,대전광역
30200146,3020014600,대전광역시 유성구 관평동,존재,대전광역
30200147,3020014700,대전광역시 유성구 송강동,존재,대전광역
30200148,3020014800,대전광역시 유성구 금고동,존재,대전광역
30200149,3020014900,대전광역시 유성구 대동,존재,대전광역
30200150,3020015000,대전광역시 유성구 금탄동,존재,대전광역
30200151,3020015100,대전광역시 유성구 신동,존재,대전광역
30200152,3020015200,대전광역시 유성구 둔곡동,존재,대전광역
30200153,3020015300,대전광역시 유성구 구룡동,존재,대전광역
30230101,3023010100,대전광역시 대덕구 오정동,존재,대전광역
30230102,3023010200,대전광역시 대덕구 대화동,존재,대전광역
30230103,3023010300,대전광역시 대덕구 읍내동,존재,대전광역
30230104,3023010400,대전광역시 대덕구 연축동,존재,대전광역
30230105,3023010500,대전광역시 대덕구 신대동,존재,대전광역
30230106,3023010600,대전광역시 대덕구 와동,존재,대전광역
30230107,3023010700,대전광역시 대덕구 송촌동,존재,대전광역
30230108,3023010800,대전광역시 대덕구 법동,존재,대전광역
30230109,3023010900,대전광역시 대덕구 중리동,존재,대전광역
30230110,3023011000,대전광역시 대덕구 비래동,존재,대전광역
30230111,3023011100,대전광역시 대덕구 석봉동,존재,대전광역
30230112,3023011200,대전광역시 대덕구 목상동,존재,대전광역
30230113,3023011300,대전광역시 대덕구 문평동,존재,대전광역
30230114,3023011400,대전광역시 대덕구 신일동,존재,대전광역
30230115,3023011500,대전광역시 대덕구 덕암동,존재,대전광역
30230116,3023011600,대전광역시 대덕구 상서동,존재,대전광역
30230117,3023011700,대전광역시 대덕구 평촌동,존재,대전광역
30230118,3023011800,대전광역시 대덕구 장동,존재,대전광역
30230119,3023011900,대전광역시 대덕구 용호동,존재,대전광역
30230120,3023012000,대전광역시 대덕구 이현동,존재,대전광역
30230121,3023012100,대전광역시 대덕구 갈전동,존재,대전광역
30230122,3023012200,대전광역시 대덕구 부수동,존재,대전광역
30230123,3023012300,대전광역시 대덕구 황호동,존재,대전광역
30230124,3023012400,대전광역시 대덕구 삼정동,존재,대전광역
30230125,3023012500,대전광역시 대덕구 미호동,존재,대전광역
30230126,3023012600,대전광역시 대덕구 신탄진동,존재,대전광역
